CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-12-12 01:59:48.1132143,E:\Windows\prefetch\MSTINIT.EXE-39813B24.pf,D:\Data\Target\E\Windows\prefetch\MSTINIT.EXE-39813B24.pf,6742,F5D70D82D5038D97714402E4FD7DCBE6842818E9,False,2002-02-28 22:24:08.3486384,2002-02-28 22:24:08.3486384,2002-02-28 22:24:08.3486384,00:00:00
2025-12-12 01:59:48.1132143,E:\Windows\prefetch\MTSAXINSTALLER.EXE-0997008B.pf,D:\Data\Target\E\Windows\prefetch\MTSAXINSTALLER.EXE-0997008B.pf,31666,D9330E39C34BA3093A5E5AC1B9F372E9FF78DC07,False,2002-03-01 15:10:41.3374736,2002-03-01 15:10:41.3374736,2002-03-01 15:10:41.3374736,00:00:00
2025-12-12 01:59:48.1288738,E:\Windows\prefetch\NOTEPAD.EXE-336351A9.pf,D:\Data\Target\E\Windows\prefetch\NOTEPAD.EXE-336351A9.pf,10592,4FED1F67FCB3D2C2D6F8390BE517236483CC7A79,False,2002-03-31 15:23:33.3443488,2002-06-04 23:58:51.4734064,2002-06-04 23:58:51.4734064,00:00:00.0156595
2025-12-12 01:59:48.1288738,E:\Windows\prefetch\NTOSBOOT-B00DFAAD.pf,D:\Data\Target\E\Windows\prefetch\NTOSBOOT-B00DFAAD.pf,331552,5CD109856224055E52E91DF7B20AC10FBABF89FC,False,2002-03-01 14:18:30.8441072,2002-06-04 23:03:21.1045712,2002-06-04 23:03:21.1045712,00:00:00
2025-12-12 01:59:48.1473538,E:\Windows\prefetch\NTVDM.EXE-1A10A423.pf,D:\Data\Target\E\Windows\prefetch\NTVDM.EXE-1A10A423.pf,34414,CEE513B865D43F78754BC8B7165C431570626592,False,2002-03-01 14:52:40.0707504,2002-05-14 16:21:54.5911953,2002-05-14 16:21:54.5911953,00:00:00.0027830
2025-12-12 01:59:48.1473538,E:\Windows\prefetch\OSPATH.EXE-0C1A31EE.pf,D:\Data\Target\E\Windows\prefetch\OSPATH.EXE-0C1A31EE.pf,32758,9F5CC47DD7D03F5D33BF3DD4011329C744A09D92,False,2002-03-01 15:12:04.1765904,2002-04-18 20:05:08.1072832,2002-04-18 20:05:08.1072832,00:00:00
2025-12-12 01:59:48.1622550,E:\Windows\prefetch\Q309521_X86.EXE-12B8D653.pf,D:\Data\Target\E\Windows\prefetch\Q309521_X86.EXE-12B8D653.pf,18562,E18E653DB9AED253D0AF8CA8987DF4A071368872,False,2002-03-31 16:52:31.7796704,2002-03-31 16:52:31.7796704,2002-03-31 16:52:31.7796704,00:00:00.0149012
2025-12-12 01:59:48.1686199,E:\Windows\prefetch\Q311889.EXE-03E89CF8.pf,D:\Data\Target\E\Windows\prefetch\Q311889.EXE-03E89CF8.pf,10842,AC3C91A90CF8912444A5FF04E513C6D3C8E08A43,False,2002-03-31 16:52:10.2286816,2002-03-31 16:52:10.2286816,2002-03-31 16:52:10.2286816,00:00:00.0038818
2025-12-12 01:59:48.1706282,E:\Windows\prefetch\Q313484.EXE-1244BD98.pf,D:\Data\Target\E\Windows\prefetch\Q313484.EXE-1244BD98.pf,15030,BE66C7C18113C80175C93BFFC0B55DE769FE80BE,False,2002-03-31 16:51:31.4228816,2002-03-31 16:51:31.4228816,2002-03-31 16:51:31.4228816,00:00:00
2025-12-12 01:59:48.1758177,E:\Windows\prefetch\Q314147.EXE-043147AF.pf,D:\Data\Target\E\Windows\prefetch\Q314147.EXE-043147AF.pf,11358,F33BD522113049D85EC41DE8C28A25E650999721,False,2002-03-31 16:50:11.2676240,2002-03-31 16:50:11.2676240,2002-03-31 16:50:11.2676240,00:00:00
